2026-08-24 14:14:44 INFO     [SA_03] Start Application
2026-08-24 14:14:45 DEBUG    [SA_03] INITIAL ITEM: phrase_code = ru phrase_locale = ru-RU phrase_voice = ru-RU-SvetlanaNeural
2026-08-24 14:14:45 DEBUG    [SA_03] INITIAL SOURCE: language = ru locale = ru-RU voice = 
2026-08-24 14:14:46 DEBUG    [SA_03] Button: play
2026-08-24 14:14:46 DEBUG    [SA_03] PREPARE_ITEM #0
2026-08-24 14:14:46 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'top', 'content': 'phrase_text'}
2026-08-24 14:14:46 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'phrase_text'}
2026-08-24 14:14:46 DEBUG    [SA_03] AudioProvider: CACHE HIT
2026-08-24 14:14:46 DEBUG    [SA_03] TEXT PLAY
2026-08-24 14:14:49 DEBUG    [SA_03] TEXT_END
2026-08-24 14:14:49 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_before_translation'}
2026-08-24 14:14:50 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:14:50 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'bottom', 'content': 'translate_text'}
2026-08-24 14:14:50 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'translate_text'}
2026-08-24 14:14:50 DEBUG    [SA_03] AudioProvider: CACHE HIT
2026-08-24 14:14:50 DEBUG    [SA_03] TRANSLATION PLAY
2026-08-24 14:14:52 DEBUG    [SA_03] TRANSLATION_END
2026-08-24 14:14:52 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_between_sentences'}
2026-08-24 14:14:54 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:14:54 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'top'}
2026-08-24 14:14:54 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'bottom'}
2026-08-24 14:14:54 INFO     [SA_03] SCENARIO FINISHED
2026-08-24 14:14:54 DEBUG    [SA_03] FINISH_ITEM: repeat 1/1
2026-08-24 14:14:54 DEBUG    [SA_03] PREPARE_ITEM #1
2026-08-24 14:14:54 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'top', 'content': 'phrase_text'}
2026-08-24 14:14:54 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'phrase_text'}
2026-08-24 14:14:54 DEBUG    [SA_03] AudioProvider: CACHE HIT
2026-08-24 14:14:54 DEBUG    [SA_03] TEXT PLAY
2026-08-24 14:14:57 DEBUG    [SA_03] TEXT_END
2026-08-24 14:14:57 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_before_translation'}
2026-08-24 14:14:58 DEBUG    [SA_03] Slider: factor_pause_before_translation = 1.985
2026-08-24 14:14:58 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:14:58 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'bottom', 'content': 'translate_text'}
2026-08-24 14:14:58 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'translate_text'}
2026-08-24 14:14:58 DEBUG    [SA_03] AudioProvider: CACHE HIT
2026-08-24 14:14:58 DEBUG    [SA_03] TRANSLATION PLAY
2026-08-24 14:14:59 DEBUG    [SA_03] Slider: voice_speed = 0.8333333333333331
2026-08-24 14:15:01 DEBUG    [SA_03] TRANSLATION_END
2026-08-24 14:15:01 DEBUG    [SA_03] ACTION: {'action': 'WAIT', 'source': 'pause_between_sentences'}
2026-08-24 14:15:01 DEBUG    [SA_03] Slider: pause_between_sentences = 4844.444444444444
2026-08-24 14:15:03 DEBUG    [SA_03] PAUSE_END
2026-08-24 14:15:03 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'top'}
2026-08-24 14:15:03 DEBUG    [SA_03] ACTION: {'action': 'HIDE', 'target': 'bottom'}
2026-08-24 14:15:03 INFO     [SA_03] SCENARIO FINISHED
2026-08-24 14:15:03 DEBUG    [SA_03] FINISH_ITEM: repeat 1/1
2026-08-24 14:15:03 DEBUG    [SA_03] PREPARE_ITEM #2
2026-08-24 14:15:03 DEBUG    [SA_03] ACTION: {'action': 'SHOW', 'target': 'top', 'content': 'phrase_text'}
2026-08-24 14:15:03 DEBUG    [SA_03] ACTION: {'action': 'PLAY', 'source': 'phrase_text'}
2026-08-24 14:15:03 DEBUG    [SA_03] AudioProvider: CACHE MISS
2026-08-24 14:15:04 INFO     [SA_03] Finsh Application
2026-08-24 14:21:45 INFO     [SA_03] Start Application
2026-08-24 14:21:45 DEBUG    [SA_03] INITIAL ITEM: phrase_code = ru phrase_locale = ru-RU phrase_voice = ru-RU-SvetlanaNeural
